baseMean	log2FoldChange	lfcSE	pvalue	padj
FRAEX38873_v2_000091870.1	43.620251211331	2.63736232581965	0.3579667343183	9.67880373552527e-15	2.36666108941064e-10
FRAEX38873_v2_000028330.1	14.882256351433	3.67705661582641e-07	0.00144269505935769	2.96126600062519e-13	3.62044381236436e-09
FRAEX38873_v2_000086490.1	39.3288882504224	1.10407866900297	0.18213266413734	6.73772667932364e-11	5.49169642542739e-07
FRAEX38873_v2_000386730.1	16.5509529737559	-1.96426553515916	0.343428487970874	5.39828484159023e-10	3.29997152366411e-06
FRAEX38873_v2_000048360.1	6.2522194256368	5.56090593389798	1.54380011811435	7.52866329344034e-07	0.00368181749702407
FRAEX38873_v2_000267860.1	26.5705843798024	1.49757601312729	0.366689607500063	1.86504326949927e-06	0.0064318334383272
FRAEX38873_v2_000231520.2	41.0125690049794	1.19345336319104	0.294591491911007	2.0990079447755e-06	0.0064318334383272
FRAEX38873_v2_000250880.1	866.772129735051	-0.844524220527631	0.209526106979309	2.10431324663085e-06	0.0064318334383272
FRAEX38873_v2_000349000.1	36.3593563030442	-2.82380766012635	0.711208825522787	2.46484616546404e-06	0.00669671315976963
FRAEX38873_v2_000386360.1	8.20462855903006	-1.19433590828452e-05	0.0014427111820261	2.99378652273832e-06	0.00732040680539975
FRAEX38873_v2_000329920.1	32.3484702106769	-0.96886417292634	0.246884371631024	3.29499350680723e-06	0.00732447102076821
FRAEX38873_v2_000076540.1	31.6935801654993	1.72225660222618	0.440228480638328	3.62141733476673e-06	0.00737924138914302
FRAEX38873_v2_000312560.1	34.0594559965514	-0.786784257693835	0.214506483847201	9.09331748385153e-06	0.0171038307011644
FRAEX38873_v2_000254570.1	14.6892282694679	-1.37713540743783	0.378560392410077	1.05331997310521e-05	0.0175980772162845
FRAEX38873_v2_000246120.1	20.4947831758024	-1.56506195703505e-05	0.00144272025770209	1.0795483324238e-05	0.0175980772162845
FRAEX38873_v2_000179770.1	25.1942682142992	-1.67279576776762e-06	0.00144269413554236	1.24654948103931e-05	0.0190503924439832
FRAEX38873_v2_000239240.1	26.5503522850862	0.769219665231559	0.216074125376307	1.42748698296702e-05	0.0205323010044174
FRAEX38873_v2_000321650.1	12.8393305335994	2.39270072092327	0.677382180696887	1.68707220270558e-05	0.0229179386114204
FRAEX38873_v2_000200460.1	11.5106571420638	-5.81338310637168e-06	0.0014426988341498	1.84570193209545e-05	0.023753212443999
FRAEX38873_v2_000218520.1	18.3675663727511	0.947806770655975	0.272271494372677	2.02550732968755e-05	0.02476385261276
FRAEX38873_v2_000059940.1	47.9547165034956	-1.00278648159816e-05	0.00144270539049701	2.15280461235066e-05	0.0250668468481897
FRAEX38873_v2_000322050.1	5.71020912151725	-1.99900133988618	0.584542617785829	3.09370288392231e-05	0.0343851013262129
FRAEX38873_v2_000048340.1	10.7069861691304	1.67018195550335	0.503286189662774	3.63342510836414e-05	0.035155113981761
FRAEX38873_v2_000044520.1	8.91236472521868	1.78923597038629	0.537829408654211	3.73807035631354e-05	0.035155113981761
FRAEX38873_v2_000275130.1	23.7191095718755	0.807959753135814	0.244655273468578	3.55500376450187e-05	0.035155113981761
FRAEX38873_v2_000165840.1	30.6836228729766	-1.2118160822234e-05	0.00144270917040799	3.35468328352983e-05	0.035155113981761
FRAEX38873_v2_000287610.1	38.3916220973539	-1.16721426378299	0.362307453227086	4.2170501205352e-05	0.0370511734307187
FRAEX38873_v2_000253230.1	26.4403535068397	6.59034943863974	1.01326215653763	4.39425825900066e-05	0.0370511734307187
FRAEX38873_v2_000267040.1	980.835380817653	2.85762104467759	0.892358450426255	4.25071051296959e-05	0.0370511734307187
FRAEX38873_v2_000370170.1	10.0068748752576	-7.19371109674468e-06	0.00144269979963275	7.42221089854229e-05	0.0585444841584374
FRAEX38873_v2_000222720.1	82.3735208215864	0.383212543094616	0.12453836532973	7.21052021711804e-05	0.0585444841584374
FRAEX38873_v2_000187700.1	14.9408727907046	-1.31678905098284	0.43303555048614	7.78493145058826e-05	0.0594866074468075
FRAEX38873_v2_000337350.1	67.313057895959	0.549055940949321	0.182144104476482	8.92260683518756e-05	0.0641692889217665
FRAEX38873_v2_000013840.1	61.7984968487642	2.91575800020961	0.986433457097817	8.7058639536171e-05	0.0641692889217665
FRAEX38873_v2_000155190.1	34.3508885743767	0.813839030362031	0.271734949335996	9.35482819430778e-05	0.0653555025734897
FRAEX38873_v2_000271440.1	37.6308328597445	-5.50148099388741e-06	0.00144269799866531	9.80243557926849e-05	0.0665803207734092
FRAEX38873_v2_000271870.1	5.51377175126208	-1.89390628653084	0.637816208113043	0.000125254872332662	0.0808485611574638
FRAEX38873_v2_000323600.1	11.3982950846904	-8.55526971647422e-07	0.00144269446879282	0.000125643927857992	0.0808485611574638
FRAEX38873_v2_000390990.1	9.94364171618145	1.36797160912672	0.47472805420828	0.000146978438513429	0.0887005099165136
FRAEX38873_v2_000114080.1	26.7197369796321	-0.850089590912996	0.300287422421584	0.000144198367457303	0.0887005099165136
FRAEX38873_v2_000320980.1	101.528075155036	4.17938865075319	1.56071936134933	0.000148728975403937	0.0887005099165136
FRAEX38873_v2_000157370.1	28.4577476915059	-1.77260618087173e-05	0.00144271875035106	0.000174094618990918	0.0905736515652326
FRAEX38873_v2_000007910.1	31.2888273170265	-0.699638455918285	0.25237813465399	0.00017343196870533	0.0905736515652326
FRAEX38873_v2_000329170.1	21.3918968298115	-1.36627907677357	0.491736264991936	0.000163388900110374	0.0905736515652326
FRAEX38873_v2_000021000.1	43.8539836489225	-7.79531952652283e-06	0.00144270017871646	0.000162338226247512	0.0905736515652326
FRAEX38873_v2_000268450.1	138.24228064027	0.413089376192301	0.148042085223999	0.000168737579636097	0.0905736515652326
FRAEX38873_v2_000064200.1	145.984445658386	-2.81707610431008e-05	0.00144275551013302	0.000165479180910575	0.0905736515652326
FRAEX38873_v2_000177450.1	155.171193361738	2.54741397643877	0.939420815517477	0.000178720169551178	0.0910430330388626
FRAEX38873_v2_000254870.1	30.7279818056803	-8.05640084471124e-06	0.00144270023910159	0.000200844188229265	0.09822084181164
FRAEX38873_v2_000025830.1	322.045955651582	-2.31438875259552	0.870886175464832	0.000198425896911142	0.09822084181164
FRAEX38873_v2_000195910.1	31.8855442541922	0.854887037508479	0.31462020556701	0.000207931844629745	0.099693126762481
FRAEX38873_v2_000251660.1	19.8096247265998	-0.980487887593667	0.366848130977224	0.000232865750738106	0.10950064109708
FRAEX38873_v2_000307100.2	16.3739874517672	0.819380544724496	0.304851015701409	0.00024146682853531	0.111402771534819
FRAEX38873_v2_000398520.1	5.02233629332403	3.36280271109731	1.20275280757824	0.000251942119145944	0.113711484211745
FRAEX38873_v2_000115790.1	29.2233878156543	0.576375303591942	0.217323248562315	0.000255771782743578	0.113711484211745
FRAEX38873_v2_000263260.1	16.698151430909	-1.41899392950438	0.541658347765183	0.000266005760348413	0.116149515214989
FRAEX38873_v2_000210580.1	8.91123808258195	-4.37643733511946e-06	0.00144269667847046	0.00027684555021999	0.118761884104898
FRAEX38873_v2_000154630.1	60.154459165062	-0.567163533134472	0.219588781154824	0.000284827917220292	0.120079521239148
FRAEX38873_v2_000050120.1	44.8506571512968	-0.9251780861639	0.361416326200205	0.000296046416277712	0.121329590022116
FRAEX38873_v2_000100160.1	386.805758731572	0.669450827687953	0.260224813174331	0.000297716972081096	0.121329590022116
FRAEX38873_v2_000298540.1	4.48584140988312	1.90796231772317	0.710613986258295	0.000303521269463484	0.121667247228215
FRAEX38873_v2_000293880.1	224.163058175797	-9.06986208777561e-06	0.00144270095547389	0.000345388977433493	0.136216956067803
FRAEX38873_v2_000311960.1	42.5724659508471	0.93238702946853	0.372317401653505	0.00035590742534706	0.138137275628354
FRAEX38873_v2_000220250.1	5.64479779113591	1.49660804364641	0.592215139868476	0.000432595078209112	0.146914095171795
FRAEX38873_v2_000025500.1	15.8228196932969	0.733364633417475	0.296621545665763	0.000423117111800707	0.146914095171795
FRAEX38873_v2_000391410.1	23.3217632757064	0.754411969500267	0.308127118645804	0.000419229415695242	0.146914095171795
FRAEX38873_v2_000193870.1	29.4577429981604	0.732147911323912	0.298619175149853	0.000426889053374239	0.146914095171795
FRAEX38873_v2_000208460.1	9.07993517064178	2.58965452506927	1.06221622750065	0.000414023785887847	0.146914095171795
FRAEX38873_v2_000199190.1	36.5459413045996	2.06547810625859	0.855243194848416	0.000392909566943631	0.146914095171795
FRAEX38873_v2_000370490.1	227.149791314539	0.543060919079798	0.221967992373297	0.000406892110746761	0.146914095171795
